18
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI1|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|338|B|1|0|2|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|3|20|14|18|21|7|24|24|17|6|2|5|24|16|4|20|22|6|9|20|0|282|2021|2|25|20|30|20|1|0
1|1|339|B|1|0|2|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|19|7|16|12|15|8|22|17|16|21|20|0|15|24|6|5|2|5|2|11|0|243|2021|2|25|20|30|20|1|0
1|1|340|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|22|19|20|1|8|0|21|13|9|12|6|19|7|19|24|15|20|13|6|11|0|265|2021|2|25|20|30|20|1|0
1|1|341|B|1|0|2|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|23|15|16|11|22|7|1|24|18|6|14|15|12|12|21|7|5|22|15|3|0|269|2021|2|25|20|30|20|1|0
1|1|342|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|5|10|12|14|15|1|18|8|17|1|1|13|6|9|0|15|20|24|2|15|0|206|2021|2|25|20|30|20|1|0
1|1|343|B|1|0|2|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|18|20|17|23|2|4|13|10|17|11|22|6|13|15|16|18|0|20|20|21|0|286|2021|2|25|20|30|20|1|0
1|1|344|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|7|18|8|12|2|16|7|8|13|8|24|23|9|3|12|11|20|15|12|6|0|234|2021|2|25|20|30|20|1|0
1|1|345|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|19|19|8|0|3|1|10|15|21|10|8|1|8|19|13|2|19|16|10|6|0|208|2021|2|25|20|30|20|1|0
1|1|346|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|1|24|9|0|2|11|9|13|1|15|15|16|18|11|7|3|18|22|10|7|0|212|2021|2|25|20|30|20|1|0
1|1|347|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|18|24|0|7|5|6|2|5|22|14|5|4|20|10|14|12|5|11|1|1|0|186|2021|2|25|20|30|20|1|0
1|1|348|B|1|0|1|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|13|22|7|22|13|6|24|4|24|3|5|2|7|15|17|6|3|7|19|11|0|230|2021|2|25|20|30|20|1|0
1|1|349|B|1|0|2|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|1|5|23|3|24|13|15|20|23|23|5|0|21|4|10|2|9|2|17|0|13|233|2021|2|25|20|30|20|1|0
1|1|350|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|20|2|15|4|18|18|19|0|23|3|7|12|1|7|2|23|2|5|4|2|0|187|2021|2|25|20|30|20|1|0
1|1|351|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|16|21|20|17|7|1|9|20|20|15|13|17|10|19|13|13|24|0|6|10|6|277|2021|2|25|20|30|20|1|0
1|1|352|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|8|7|18|17|2|13|7|13|5|8|9|15|20|23|6|15|15|12|21|0|17|251|2021|2|25|20|30|20|1|0
1|1|353|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|4|23|2|23|18|1|4|13|12|12|9|9|14|23|14|14|3|5|6|0|9|218|2021|2|25|20|30|20|1|0
1|1|354|B|1|0|3|750|2|2|1|ESTRATO_1|1|ESTRATO_1|1|16|16|19|11|10|3|0|20|24|15|5|10|6|7|1|19|0|14|0|17|24|237|2021|2|25|20|30|20|1|0
1|1|355|B|1|0|2|750|3|8|1|ESTRATO_1|1|ESTRATO_1|1|23|12|18|17|24|17|13|18|24|22|22|19|21|20|0|24|23|16|13|13|7|366|2021|2|25|20|30|20|1|0
