ID_ESTADO,ID_DISTRITO,ESTADO,CAB_DISTRITO,GANA_PRI_PVEM,GANA_PRI,GANA_PVEM,GANA_PRD_PT,GANA_PRD,GANA_PT
1,1,AGUASCALIENTES,JESUS MARIA,0,0,0,0,0,0
1,2,AGUASCALIENTES,AGUASCALIENTES,0,0,0,0,0,0
1,3,AGUASCALIENTES,AGUASCALIENTES,0,0,0,0,0,0
2,1,BAJA CALIFORNIA,MEXICALI,1,1,0,0,0,0
2,2,BAJA CALIFORNIA,MEXICALI,1,0,1,0,0,0
2,3,BAJA CALIFORNIA,ENSENADA,1,1,0,0,0,0
2,4,BAJA CALIFORNIA,TIJUANA,1,1,0,0,0,0
2,5,BAJA CALIFORNIA,TIJUANA,1,1,0,0,0,0
2,6,BAJA CALIFORNIA,TIJUANA,1,0,1,0,0,0
2,7,BAJA CALIFORNIA,MEXICALI,1,1,0,0,0,0
2,8,BAJA CALIFORNIA,TIJUANA,1,1,0,0,0,0
3,1,BAJA CALIFORNIA SUR,MULEGE,1,1,0,1,1,0
3,2,BAJA CALIFORNIA SUR,LA PAZ,1,1,0,1,0,1
4,1,CAMPECHE,CAMPECHE,1,1,0,0,0,0
4,2,CAMPECHE,CARMEN,1,1,0,0,0,0
5,1,COAHUILA,PIEDRAS NEGRAS,1,1,0,0,0,0
5,2,COAHUILA,SAN PEDRO,1,1,0,0,0,0
5,3,COAHUILA,MONCLOVA,1,1,0,0,0,0
5,4,COAHUILA,SALTILLO,1,1,0,0,0,0
5,5,COAHUILA,TORREON,1,1,0,0,0,0
5,6,COAHUILA,TORREON,1,0,1,0,0,0
5,7,COAHUILA,SALTILLO,1,1,0,0,0,0
6,1,COLIMA,COLIMA,1,1,0,0,0,0
6,2,COLIMA,MANZANILLO,1,1,0,0,0,0
7,1,CHIAPAS,PALENQUE,1,0,1,0,0,0
7,2,CHIAPAS,BOCHIL,1,1,0,0,0,0
7,3,CHIAPAS,OCOSINGO,1,0,1,0,0,0
7,4,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,1,1,0,0,0,0
7,5,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,1,1,0,0,0,0
7,6,CHIAPAS,TUXTLA GUTIERREZ,1,0,1,0,0,0
7,7,CHIAPAS,TONALA,1,0,1,0,0,0
7,8,CHIAPAS,COMITAN DE DOMINGUEZ,1,0,1,0,0,0
7,9,CHIAPAS,TUXTLA GUTIERREZ,1,0,1,0,0,0
7,10,CHIAPAS,VILLAFLORES,1,1,0,0,0,0
7,11,CHIAPAS,HUIXTLA,1,0,1,0,0,0
7,12,CHIAPAS,TAPACHULA,1,1,0,0,0,0
8,1,CHIHUAHUA,JUAREZ,1,1,0,0,0,0
8,2,CHIHUAHUA,JUAREZ,1,1,0,0,0,0
8,3,CHIHUAHUA,JUAREZ,1,0,1,0,0,0
8,4,CHIHUAHUA,JUAREZ,1,1,0,0,0,0
8,5,CHIHUAHUA,DELICIAS,1,0,1,0,0,0
8,6,CHIHUAHUA,CHIHUAHUA,1,1,0,0,0,0
